# master lattice 33^3: u=linspace(-2.0,1.0,33)  w=linspace(0.0,0.4,33)  z=linspace(-2.0,-12.0,33)
# y is the degenerate inclination axis, y == 1.0 everywhere (apex_of_uwyz ignores it and sets x = 1)
# sub-grid shape 17 x 17 x 1 x 9 in (u,w,y,z); rows are in ij order over (iu,iw,iz)
# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz  u w y z
9.8999999999999999e-01 1.5441186790587178e+00 1.2500000000000000e-01 1.0000000000000000e+00 1.8000000000000000e+01 8.9382444240961270e-02 2.4741461658001507e-01 9.0027272063657174e-17 -8.2411640848182068e-03 9.7623608325778821e-02 -2.2789190111838973e-02 2.7020380669185023e-01 -8.2905274065535898e-18 9.8317799470210078e-17 6.1333183753490448e+02 0 10 0 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.2399423347874390e+00 1.2500000000000000e-01 1.0000000000000000e+00 1.9000000000000000e+01 7.4567077128955161e-02 1.7017014510355416e-01 -1.6557217181513187e-17 -9.4989241460296543e-03 8.4066001274984176e-02 -2.1695150570325537e-02 1.9186529567387434e-01 2.1091848592179950e-18 -1.8666402040731040e-17 2.5490045072492212e+03 0 10 4 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.1612106134928224e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.0000000000000000e+01 4.2125438634218623e-02 9.1019008219239209e-02 2.8061179136485665e-17 -5.8287251640911763e-03 4.7954163798306540e-02 -1.2609784241786949e-02 1.0362879246102066e-01 -3.8827109288314283e-18 3.1943890065315979e-17 8.0886531580174342e+03 0 10 8 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.1413260535243737e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.1000000000000000e+01 2.6137972234699072e-02 5.5589614495369123e-02 3.7030121965678351e-17 -3.6894578408660024e-03 2.9827430075561542e-02 -7.8593655733687918e-03 6.3448980068730579e-02 -5.2353891711004304e-18 4.2265511136773107e-17 2.6565697053658776e+04 0 10 12 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.1365071123887269e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.2000000000000000e+01 2.0664975837478086e-02 4.3689336951599156e-02 0.0000000000000000e+00 -2.9436788800170908e-03 2.3608654717491143e-02 -6.2633849111687484e-03 4.9952721862760133e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.8012840429106727e+04 0 10 16 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.1353577960098467e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.3000000000000000e+01 1.9138491504699050e-02 4.0388822712919506e-02 6.7026440063762840e-17 -2.7356717383346285e-03 2.1874163243030275e-02 -5.8147223697701741e-03 4.6203545082682970e-02 -9.6453352697534214e-18 7.6671775333507043e-17 5.9241826043017209e+04 0 10 20 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.1350848696693070e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.4000000000000000e+01 1.8708274074463748e-02 3.9320457917380119e-02 -4.4499983503376553e-17 -2.7253559181352749e-03 2.1433629992596244e-02 -5.9317922513060194e-03 4.5252250168680272e-02 6.7992549560805166e-18 -5.1299238459452339e-17 3.4257133764821105e+04 0 10 24 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.1350201271016942e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.5000000000000000e+01 1.8613436069106769e-02 3.9122205641073785e-02 -3.5589195939160231e-17 -2.7158358157445342e-03 2.1329271884848611e-02 -5.9047401901162469e-03 4.5026945831184738e-02 5.4545474532028056e-18 -4.1043743392357325e-17 3.6579720101209357e+04 0 10 28 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.1350047727294890e+00 1.2500000000000000e-01 1.0000000000000000e+00 2.6000000000000000e+01 1.8600367428936514e-02 3.9115678115978124e-02 -2.6481478700109789e-17 -2.7044381994968765e-03 2.1304805628430862e-02 -5.8583790401226564e-03 4.4974057156095003e-02 4.0022740147575055e-18 -3.0483752714864905e-17 3.7184283448266797e+04 0 10 32 -2.0000000000000000e+00 1.2500000000000000e-01 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.5635846450496993e+00 1.5000000000000002e-01 1.0000000000000000e+00 2.5200000000000000e+02 8.9473023886675745e-02 2.4709098285360057e-01 -1.8446266124516138e-16 -8.1664113935263072e-03 9.7639435280201831e-02 -2.2519985956077841e-02 2.6961096880967600e-01 1.6814631745134560e-17 -2.0127729299029540e-16 5.8481057963706553e+02 0 12 0 -2.0000000000000000e+00 1.5000000000000002e-01 1.0000000000000000e+00 -2.0000000000000000e+00
